Method: GCL
Expert reward: 1649.05
Parameters: horizon=50, num_traj=500
N_steps=1000, iterations=1000
Q=0.0001, P=0.01

Total time: 3985.66 seconds
Average time per iteration: 3.9856 seconds
Average reward (all): 10139.35
Final reward (last 100): 10139.35

Iteration data:
1,6.4088,10139.35
2,3.8000,10139.35
3,3.7258,10139.35
4,3.4836,10139.35
5,3.6012,10139.35
6,3.7444,10139.35
7,3.6718,10139.35
8,3.5083,10139.35
9,3.4482,10139.35
10,3.7798,10139.35
11,3.7478,10139.35
12,3.8366,10139.35
13,3.8784,10139.35
14,3.5939,10139.35
15,3.5009,10139.35
16,3.4449,10139.35
17,3.7046,10139.35
18,3.7835,10139.35
19,3.8587,10139.35
20,3.8155,10139.35
21,3.8782,10139.35
22,3.8241,10139.35
23,4.3364,10139.35
24,3.7757,10139.35
25,3.8579,10139.35
26,3.8781,10139.35
27,3.6839,10139.35
28,3.5722,10139.35
29,4.3007,10139.35
30,3.8010,10139.35
31,3.8835,10139.35
32,3.5421,10139.35
33,3.4858,10139.35
34,3.5222,10139.35
35,3.4648,10139.35
36,3.5712,10139.35
37,4.1981,10139.35
38,3.7511,10139.35
39,3.8760,10139.35
40,3.8741,10139.35
41,3.8215,10139.35
42,3.7933,10139.35
43,4.0353,10139.35
44,3.8013,10139.35
45,3.7759,10139.35
46,3.5674,10139.35
47,3.8405,10139.35
48,3.6070,10139.35
49,3.9270,10139.35
50,4.0355,10139.35
51,3.7919,10139.35
52,3.6562,10139.35
53,3.7895,10139.35
54,3.9346,10139.35
55,3.8647,10139.35
56,3.6233,10139.35
57,3.9373,10139.35
58,4.1694,10139.35
59,3.8455,10139.35
60,3.7944,10139.35
61,3.7190,10139.35
62,3.8140,10139.35
63,3.7738,10139.35
64,3.8153,10139.35
65,4.2335,10139.35
66,3.8373,10139.35
67,3.7641,10139.35
68,3.8520,10139.35
69,3.7764,10139.35
70,3.4796,10139.35
71,3.4693,10139.35
72,4.1029,10139.35
73,3.5789,10139.35
74,3.4918,10139.35
75,3.4695,10139.35
76,3.4510,10139.35
77,3.8135,10139.35
78,3.8756,10139.35
79,3.8126,10139.35
80,3.9579,10139.35
81,3.8218,10139.35
82,3.8511,10139.35
83,3.7483,10139.35
84,3.5958,10139.35
85,3.5073,10139.35
86,3.7751,10139.35
87,4.1030,10139.35
88,3.8364,10139.35
89,3.8485,10139.35
90,3.8284,10139.35
91,3.8255,10139.35
92,3.9353,10139.35
93,3.9564,10139.35
94,3.9177,10139.35
95,4.2858,10139.35
96,3.7746,10139.35
97,3.6259,10139.35
98,3.8365,10139.35
99,3.9331,10139.35
100,3.9458,10139.35
101,3.8929,10139.35
102,3.7675,10139.35
103,4.1939,10139.35
104,3.8723,10139.35
105,3.8619,10139.35
106,3.5216,10139.35
107,3.6516,10139.35
108,3.5095,10139.35
109,3.7901,10139.35
110,3.8129,10139.35
111,3.9490,10139.35
112,4.2981,10139.35
113,3.8428,10139.35
114,3.8488,10139.35
115,3.5353,10139.35
116,3.8719,10139.35
117,4.0008,10139.35
118,3.5957,10139.35
119,3.9357,10139.35
120,3.4924,10139.35
121,3.4767,10139.35
122,3.4727,10139.35
123,3.4544,10139.35
124,3.5360,10139.35
125,3.7813,10139.35
126,3.8908,10139.35
127,3.9181,10139.35
128,4.2750,10139.35
129,3.5343,10139.35
130,3.5573,10139.35
131,3.7536,10139.35
132,3.6517,10139.35
133,3.5499,10139.35
134,3.4803,10139.35
135,3.8248,10139.35
136,3.5881,10139.35
137,3.5101,10139.35
138,3.4725,10139.35
139,3.4686,10139.35
140,3.7885,10139.35
141,3.8314,10139.35
142,3.8189,10139.35
143,3.8877,10139.35
144,4.3556,10139.35
145,4.0106,10139.35
146,3.8930,10139.35
147,3.8543,10139.35
148,3.8834,10139.35
149,3.8212,10139.35
150,3.7774,10139.35
151,3.6337,10139.35
152,3.5527,10139.35
153,3.9066,10139.35
154,3.9206,10139.35
155,3.8747,10139.35
156,3.8638,10139.35
157,3.8354,10139.35
158,3.8714,10139.35
159,3.8683,10139.35
160,3.8533,10139.35
161,4.2785,10139.35
162,3.9406,10139.35
163,3.5214,10139.35
164,3.8095,10139.35
165,3.5452,10139.35
166,3.5229,10139.35
167,3.4632,10139.35
168,3.5064,10139.35
169,3.4744,10139.35
170,3.8723,10139.35
171,3.8449,10139.35
172,3.7803,10139.35
173,3.8870,10139.35
174,3.8689,10139.35
175,3.8744,10139.35
176,3.8556,10139.35
177,3.8089,10139.35
178,3.8290,10139.35
179,3.7440,10139.35
180,4.2037,10139.35
181,3.8158,10139.35
182,3.8333,10139.35
183,3.8655,10139.35
184,3.8686,10139.35
185,3.9707,10139.35
186,3.9258,10139.35
187,3.9259,10139.35
188,4.2556,10139.35
189,3.7564,10139.35
190,3.8312,10139.35
191,3.8907,10139.35
192,3.6838,10139.35
193,3.8531,10139.35
194,3.6538,10139.35
195,3.9028,10139.35
196,3.9706,10139.35
197,4.8619,10139.35
198,3.8862,10139.35
199,3.9862,10139.35
200,3.9046,10139.35
201,3.8949,10139.35
202,3.8713,10139.35
203,4.0024,10139.35
204,3.9454,10139.35
205,3.8300,10139.35
206,3.8848,10139.35
207,4.2139,10139.35
208,3.5478,10139.35
209,3.5041,10139.35
210,3.7590,10139.35
211,3.6289,10139.35
212,3.5387,10139.35
213,3.8646,10139.35
214,3.9155,10139.35
215,3.9368,10139.35
216,4.5390,10139.35
217,3.9988,10139.35
218,3.6953,10139.35
219,3.9903,10139.35
220,3.9109,10139.35
221,3.8564,10139.35
222,3.7963,10139.35
223,3.5533,10139.35
224,3.5288,10139.35
225,4.0209,10139.35
226,3.5230,10139.35
227,3.7774,10139.35
228,3.7637,10139.35
229,3.7379,10139.35
230,3.7183,10139.35
231,3.8587,10139.35
232,3.8643,10139.35
233,3.8573,10139.35
234,3.9717,10139.35
235,4.5007,10139.35
236,3.8238,10139.35
237,3.8681,10139.35
238,3.6306,10139.35
239,3.5533,10139.35
240,3.5905,10139.35
241,3.8328,10139.35
242,4.0096,10139.35
243,3.7302,10139.35
244,3.9425,10139.35
245,4.2610,10139.35
246,3.6435,10139.35
247,4.0130,10139.35
248,3.9462,10139.35
249,4.0231,10139.35
250,4.0542,10139.35
251,3.9753,10139.35
252,3.9748,10139.35
253,3.8441,10139.35
254,4.0380,10139.35
255,4.8525,10139.35
256,3.9616,10139.35
257,3.9545,10139.35
258,3.9234,10139.35
259,3.9642,10139.35
260,4.0486,10139.35
261,3.9966,10139.35
262,3.9818,10139.35
263,3.9212,10139.35
264,3.7204,10139.35
265,4.6525,10139.35
266,3.9826,10139.35
267,3.9936,10139.35
268,3.8788,10139.35
269,3.9695,10139.35
270,3.9992,10139.35
271,4.0195,10139.35
272,3.9114,10139.35
273,3.9912,10139.35
274,4.6716,10139.35
275,3.8593,10139.35
276,3.9192,10139.35
277,3.7836,10139.35
278,3.9378,10139.35
279,3.9060,10139.35
280,3.8020,10139.35
281,3.9817,10139.35
282,3.9481,10139.35
283,3.6835,10139.35
284,4.1371,10139.35
285,3.5464,10139.35
286,3.5325,10139.35
287,3.5003,10139.35
288,3.5042,10139.35
289,3.8280,10139.35
290,3.8774,10139.35
291,3.9189,10139.35
292,3.6627,10139.35
293,3.5860,10139.35
294,3.5457,10139.35
295,4.0964,10139.35
296,3.5142,10139.35
297,3.5187,10139.35
298,3.5649,10139.35
299,4.0141,10139.35
300,3.9080,10139.35
301,4.0054,10139.35
302,3.7904,10139.35
303,3.6290,10139.35
304,3.6285,10139.35
305,3.8938,10139.35
306,4.4548,10139.35
307,3.6991,10139.35
308,3.5773,10139.35
309,3.5432,10139.35
310,3.5353,10139.35
311,3.7632,10139.35
312,3.9339,10139.35
313,3.8916,10139.35
314,3.9130,10139.35
315,3.8502,10139.35
316,3.9050,10139.35
317,4.5158,10139.35
318,3.6133,10139.35
319,3.5575,10139.35
320,3.5438,10139.35
321,3.5288,10139.35
322,3.5010,10139.35
323,3.5231,10139.35
324,3.5113,10139.35
325,3.5029,10139.35
326,3.5190,10139.35
327,4.0977,10139.35
328,3.5313,10139.35
329,3.8208,10139.35
330,3.9411,10139.35
331,3.8853,10139.35
332,3.9811,10139.35
333,4.0568,10139.35
334,3.8943,10139.35
335,4.0059,10139.35
336,4.0012,10139.35
337,3.6512,10139.35
338,3.7307,10139.35
339,4.7766,10139.35
340,3.9319,10139.35
341,4.1284,10139.35
342,4.0096,10139.35
343,4.0144,10139.35
344,3.8421,10139.35
345,3.8137,10139.35
346,3.9781,10139.35
347,3.9494,10139.35
348,3.9187,10139.35
349,3.9065,10139.35
350,3.9334,10139.35
351,4.7570,10139.35
352,3.8963,10139.35
353,3.8591,10139.35
354,3.9501,10139.35
355,3.9034,10139.35
356,3.8161,10139.35
357,3.7699,10139.35
358,3.8497,10139.35
359,3.7883,10139.35
360,3.9030,10139.35
361,3.8795,10139.35
362,4.6755,10139.35
363,3.9076,10139.35
364,3.9963,10139.35
365,3.9302,10139.35
366,3.9875,10139.35
367,3.9012,10139.35
368,3.8449,10139.35
369,3.9267,10139.35
370,3.9204,10139.35
371,4.0519,10139.35
372,3.9290,10139.35
373,5.1018,10139.35
374,4.1287,10139.35
375,4.0589,10139.35
376,4.0163,10139.35
377,4.0114,10139.35
378,3.9425,10139.35
379,4.0476,10139.35
380,4.1114,10139.35
381,4.0778,10139.35
382,3.9892,10139.35
383,4.1032,10139.35
384,3.9479,10139.35
385,4.0400,10139.35
386,4.9091,10139.35
387,3.9417,10139.35
388,4.1243,10139.35
389,4.0632,10139.35
390,4.0492,10139.35
391,3.9700,10139.35
392,4.0290,10139.35
393,4.1071,10139.35
394,4.0615,10139.35
395,4.0524,10139.35
396,3.9393,10139.35
397,4.0215,10139.35
398,4.9903,10139.35
399,4.0930,10139.35
400,4.1216,10139.35
401,4.0318,10139.35
402,4.0916,10139.35
403,4.0116,10139.35
404,4.0697,10139.35
405,4.0123,10139.35
406,3.9174,10139.35
407,3.8909,10139.35
408,4.0160,10139.35
409,4.0172,10139.35
410,4.9144,10139.35
411,4.1167,10139.35
412,4.0646,10139.35
413,3.8694,10139.35
414,4.0514,10139.35
415,4.0873,10139.35
416,4.1077,10139.35
417,4.0380,10139.35
418,4.1105,10139.35
419,4.0944,10139.35
420,4.1182,10139.35
421,4.0507,10139.35
422,4.0218,10139.35
423,5.0603,10139.35
424,3.9707,10139.35
425,3.9764,10139.35
426,3.6980,10139.35
427,4.0523,10139.35
428,3.9600,10139.35
429,4.1090,10139.35
430,4.0650,10139.35
431,4.0463,10139.35
432,3.9536,10139.35
433,3.9065,10139.35
434,3.8454,10139.35
